Player;Year;Day;Team;Opponent;Result;G;A;P;PIM;+/-;SOG
Daniel Vozenilek;2025;Thu 20/03;EV Zug;@HC Davos;L 2-5;0;1;1;4;1;4
Daniel Vozenilek;2025;Tue 18/03;EV Zug;vsHC Davos;L 0-4;0;0;0;6;0;3
Daniel Vozenilek;2025;Sun 16/03;EV Zug;@HC Davos;L 1-5;0;0;0;6;-1;2
Daniel Vozenilek;2025;Fri 14/03;EV Zug;vsHC Davos;L 1-2;0;0;0;0;-1;4
Daniel Vozenilek;2025;Thu 27/02;EV Zug;@EHC Kloten;L 2-3;0;0;0;0;-1;1
Daniel Vozenilek;2025;Tue 25/02;EV Zug;@Genève-Servette HC;L 2-3;0;1;1;0;1;0
Daniel Vozenilek;2025;Sat 22/02;EV Zug;vsZSC Lions;W 5-4;0;1;1;0;0;1
Daniel Vozenilek;2025;Fri 21/02;EV Zug;@EHC Biel-Bienne;L 2-6;0;0;0;0;-2;3
Daniel Vozenilek;2025;Fri 14/02;EV Zug;vsSC Rapperswil-Jona Lakers;W 6-1;1;0;1;2;2;4
Daniel Vozenilek;2025;Tue 11/02;EV Zug;@HC Davos;W 5-4 (SO 3-1);1;2;3;0;1;3
Daniel Vozenilek;2025;Sat 01/02;EV Zug;@HC Ajoie;L 1-2;0;1;1;4;1;0
Daniel Vozenilek;2025;Fri 31/01;EV Zug;vsHC Lugano;W 7-4;0;0;0;2;0;2
Daniel Vozenilek;2025;Sat 25/01;EV Zug;@Genève-Servette HC;W 2-1 (OT 63:57);0;0;0;0;0;3
Daniel Vozenilek;2025;Fri 24/01;EV Zug;vsHC Ambrì-Piotta;L 3-4 (OT 60:19);0;0;0;0;-1;1
Daniel Vozenilek;2025;Sat 18/01;EV Zug;vsSCL Tigers;W 3-2;0;0;0;2;-1;3
Daniel Vozenilek;2025;Fri 17/01;EV Zug;@SC Bern;W 5-1;0;0;0;0;0;1
Daniel Vozenilek;2025;Wed 15/01;EV Zug;vsEHC Kloten;W 3-2;0;0;0;0;2;4
Daniel Vozenilek;2025;Sun 12/01;EV Zug;vsEHC Biel-Bienne;W 4-1;0;0;0;0;0;3
Daniel Vozenilek;2025;Sat 11/01;EV Zug;@ZSC Lions;W 2-1;0;0;0;2;-1;1
Daniel Vozenilek;2025;Mon 06/01;EV Zug;@Lausanne HC;L 1-2 (OT 63:14);0;0;0;0;-1;0
Daniel Vozenilek;2025;Sat 04/01;EV Zug;vsHC Davos;W 4-1;0;0;0;0;0;1
Daniel Vozenilek;2025;Thu 02/01;EV Zug;@SC Rapperswil-Jona Lakers;L 3-5;0;1;1;4;-2;1
Daniel Vozenilek;2024;Mon 23/12;EV Zug;vsHC Fribourg-Gottéron;L 1-2;0;0;0;0;1;4
Daniel Vozenilek;2024;Sat 21/12;EV Zug;vsHC Ajoie;W 4-0;0;0;0;2;0;0
Daniel Vozenilek;2024;Fri 20/12;EV Zug;@HC Lugano;L 2-5;0;0;0;4;-3;4
Daniel Vozenilek;2024;Sat 07/12;EV Zug;@SCL Tigers;W 4-2;0;1;1;2;0;0
Daniel Vozenilek;2024;Wed 04/12;EV Zug;@HC Ambrì-Piotta;W 3-2 (OT 60:25);0;0;0;0;0;1
Daniel Vozenilek;2024;Fri 29/11;EV Zug;@HC Fribourg-Gottéron;L 1-4;0;0;0;2;-1;3
Daniel Vozenilek;2024;Thu 28/11;EV Zug;vsZSC Lions;L 0-4;0;0;0;6;-1;5
Daniel Vozenilek;2024;Tue 26/11;EV Zug;vsEHC Kloten;W 5-0;0;0;0;0;0;0
Daniel Vozenilek;2024;Fri 22/11;EV Zug;@EHC Biel-Bienne;W 2-1 (OT 64:43);0;0;0;0;1;4
Daniel Vozenilek;2024;Thu 21/11;EV Zug;vsSC Rapperswil-Jona Lakers;W 5-2;0;1;1;0;2;0
Daniel Vozenilek;2024;Sat 16/11;EV Zug;@SC Bern;L 2-3 (OT 61:51);1;1;2;2;0;2
Daniel Vozenilek;2024;Fri 15/11;EV Zug;vsLausanne HC;W 6-2;0;1;1;0;1;1
Daniel Vozenilek;2024;Wed 13/11;EV Zug;vsSC Bern;L 1-6;0;0;0;4;0;0
Daniel Vozenilek;2024;Sat 02/11;EV Zug;@HC Davos;L 2-3;1;0;1;2;-2;3
Daniel Vozenilek;2024;Tue 29/10;EV Zug;@HC Ambrì-Piotta;W 3-2 (OT 64:17);1;1;2;2;2;7
Daniel Vozenilek;2024;Sat 26/10;EV Zug;@SCL Tigers;W 4-0;1;0;1;0;1;1
Daniel Vozenilek;2024;Fri 25/10;EV Zug;vsGenève-Servette HC;W 5-1;1;0;1;0;1;1
Daniel Vozenilek;2024;Tue 22/10;EV Zug;@HC Lugano;W 5-1;1;0;1;0;1;4
Daniel Vozenilek;2024;Sat 19/10;EV Zug;@ZSC Lions;L 4-5;1;1;2;4;1;3
Daniel Vozenilek;2024;Fri 18/10;EV Zug;vsHC Fribourg-Gottéron;W 4-2;1;1;2;6;2;4
Daniel Vozenilek;2024;Wed 16/10;EV Zug;vsHC Ajoie;W 7-1;1;2;3;0;0;4
Daniel Vozenilek;2024;Sat 12/10;EV Zug;@SC Rapperswil-Jona Lakers;L 3-4;1;0;1;0;-2;2
Daniel Vozenilek;2024;Fri 11/10;EV Zug;vsEHC Biel-Bienne;L 1-3;1;0;1;0;0;4
Daniel Vozenilek;2024;Sat 05/10;EV Zug;vsSC Bern;W 4-2;1;1;2;0;1;4
Daniel Vozenilek;2024;Fri 04/10;EV Zug;@Lausanne HC;L 3-6;0;1;1;4;1;2
Daniel Vozenilek;2024;Tue 01/10;EV Zug;@EHC Kloten;L 3-4;0;0;0;2;-2;4
Daniel Vozenilek;2024;Sat 28/09;EV Zug;vsHC Davos;L 2-6;0;0;0;0;0;3
Daniel Vozenilek;2024;Tue 24/09;EV Zug;vsHC Ambrì-Piotta;L 2-3;0;1;1;0;1;1
Daniel Vozenilek;2024;Sat 21/09;EV Zug;vsSCL Tigers;W 6-2;2;0;2;0;1;5
Daniel Vozenilek;2024;Tue 17/09;EV Zug;vsHC Lugano;W 3-2;0;1;1;0;0;1
